epoch,acc,loss,val_acc,val_loss
0,0.0,6641766978.4286785,0.0,3927724179.2
1,0.0,2306939859.381431,0.0,1316157104.0
2,0.0,969853638.4220788,0.0,854099560.0
3,7.49962485111938e-05,833834319.3592321,0.0,754828726.4
4,0.0,774386503.3244338,0.0,741452108.8
5,0.0,745283944.0012,0.0,735221436.8
6,0.0,727841754.4658767,0.0,712332470.4
7,0.0,716744439.0820459,0.0,716533129.6
8,7.49962485111938e-05,710472450.7934604,0.0,705657414.4
9,7.49962485111938e-05,706993026.7742612,0.0,682649974.4
10,0.0,702852380.4337783,0.0,668042976.0
11,0.0,699178996.499775,0.0,692845472.0
12,0.0,699378457.5443227,0.0,676560800.0
13,0.0,700045744.1511924,0.0,665394179.2
14,0.0,697660147.1270436,0.0,663999001.6
15,0.0,697923142.3068846,0.0,668040444.8
16,0.0,697292788.9557523,0.0,670472812.8
17,0.0,698398366.5744712,0.0,674355459.2
18,0.0,699969299.1702415,0.0,661207788.8
19,0.0,699146824.4907755,0.0,657807491.2
20,0.0,697115951.5896205,0.0,692346425.6
21,0.0,697034206.8336583,0.0,680692710.4
22,0.0001499924970223876,699273914.1154943,0.0,664735491.2
23,0.0,697430277.6733164,0.0,670115432.0
24,0.0,697297425.2215389,0.0,657331424.0
25,0.0,696152894.5792711,0.0,670171196.8
26,0.0,696711262.20009,0.0,662111926.4
27,0.0,695555466.4634768,0.0,644903177.6
28,0.0,694661414.878056,0.0,663046774.4
29,0.0,694544352.8063596,0.0,667098841.6
30,0.0,693967162.6722664,0.0,649052291.2
31,0.0,692458505.6187191,0.0,646796947.2
32,0.0,690896970.1802909,0.0,695202337.6
33,0.0,689926647.9076046,0.0,659299107.2
34,7.49962485111938e-05,688737663.7120144,0.0,677914001.6
35,0.0,688206504.9035548,0.0,650641414.4
36,7.49962485111938e-05,687069657.5443227,0.0,650706009.6
37,0.0,684812332.580171,0.0009999999776482583,658603368.0
38,0.0,682552429.4441278,0.0,647275859.2
39,0.0,679637928.8267586,0.0,653383808.0
40,0.0,679289551.6568172,0.0,648632624.0
41,0.0,677009459.7414129,0.0,631904883.2
42,0.0,674072639.3472326,0.0,642553379.2
43,0.0,671442764.4889755,0.0,634566793.6
44,7.49962485111938e-05,668963753.5755212,0.0,645168060.8
45,0.0,666457443.7870107,0.0,630865404.8
46,0.0,665755624.7691616,0.0,647532012.8
47,7.49962485111938e-05,661604523.4666266,0.0,631412988.8
48,0.0,656557565.379331,0.0,645056304.0
49,0.0,655416781.4825258,0.0,656801840.0
50,7.49962485111938e-05,652496208.3287835,0.0,638454544.0
51,0.0,648533566.9248538,0.0,633968966.4
52,0.0,645663561.8971051,0.0,633022556.8
53,7.49962485111938e-05,642305561.179541,0.0,641381536.0
54,0.0,639912405.1765412,0.0,619430844.8
