_H:	|batch	|epoch	%avg_sse	%cnt_err	%epoch_time_tot	%epoch_time_usr
_D:	2	10	0.0123863	4855	3.74	6.12
_D:	2	11	0.0123823	4855	3.57	5.61
_D:	2	12	0.012194	4855	5.63	11.12
_D:	2	13	0.0119303	4855	3.62	5.74
_D:	2	14	0.011999	4855	3.73	6
_D:	2	15	0.0119481	4855	4.33	7.79
_D:	2	16	0.0120426	4855	7.17	15.39
_D:	2	17	0.0120794	4855	3.46	5.34
_D:	2	18	0.0118496	4855	3.67	6.02
_D:	2	19	0.0116606	4855	3.45	5.24
_D:	2	20	0.0117594	4855	3.08	4.33
_D:	2	21	0.0116506	4855	4.03	6.85
_D:	2	22	0.0117084	4855	3.58	5.63
_D:	2	23	0.0117658	4855	3.78	6.24
_D:	2	24	0.0114612	4855	3.53	5.54
_D:	2	25	0.0117603	4855	3.28	4.79
_D:	2	26	0.0115848	4855	3.3	4.94
_D:	2	27	0.0117256	4855	3.54	5.67
_D:	2	28	0.0116674	4855	3.58	5.61
_D:	2	29	0.0114238	4855	3.65	5.96
_D:	2	30	0.0115618	4855	5.93	11.92
_D:	2	31	0.0115938	4855	3.73	6.09
_D:	2	32	0.0114026	4855	3.68	5.93
_D:	2	33	0.0114568	4855	3.67	5.86
_D:	2	34	0.0114345	4855	5.49	10.82
_D:	2	35	0.0114243	4855	3.76	6.09
_D:	2	36	0.011492	4855	3.89	6.57
_D:	2	37	0.0113454	4855	3.85	6.43
_D:	2	38	0.0112122	4855	3.67	5.98
_D:	2	39	0.0114192	4855	3.41	5.29
_D:	2	40	0.0112216	4855	3.57	5.65
_D:	2	41	0.0112876	4855	3.81	6.36
_D:	2	42	0.0111931	4855	3.55	5.58
_D:	2	43	0.0111555	4855	3.43	5.33
_D:	2	44	0.0112313	4855	3.39	5.09
_D:	2	45	0.0111624	4855	3.68	5.96
_D:	2	46	0.0110145	4855	3.09	4.27
_D:	2	47	0.0112547	4855	3.32	4.89
_D:	2	48	0.0110788	4855	3.69	5.94
_D:	2	49	0.0111308	4855	3.73	6.16
